UPC,Item_Number,Quantity_NC,Quantity_AZ,Total,Dealer Price,Sale Price
4806015519942,51994,0,2,2,629.99,
4806015519966,51996,7,6,13,449.99,
4806015520092,52009,0,0,0,619.99,
4806015514176,51417,14,29,43,409.99,
4806015564188,56418,0,0,0,559.99,
4806015564195,56419,0,46,46,559.99,
4806015564621,56462,99,99,198,469.99,
4806015564638,56463,99,99,198,469.99,
4806015564645,56464,99,99,198,469.99,
4806015566250,56625,0,15,15,399.99,
4806015566397,56639,8,9,17,529.99,
4806015566458,56645,0,0,0,829.99,
4806015567899,56789,11,0,11,469.99,
4806015567905,56790,12,3,15,579.99,
4806015568285,56828,0,0,0,579.99,
4806015568292,56829,0,0,0,579.99,
4806015568629,56862,0,48,48,679.99,
4806015568650,56865,0,0,0,624.99,
812285026831,AL22MB,0,0,0,539.99,
812285026299,12RSS24,0,0,0,439.99,
812285025834,601-BC,14,5,19,359.99,
812285026848,AGM5,0,0,0,209.99,
812285026428,PA12H18,0,0,0,209.99,
812285026435,PA12H28,0,10,10,209.99,
812285026121,PA20H26,6,3,9,209.99,
812285026114,PA410H26,3,10,13,209.99,
812285026169,TM22-A-18,99,11,110,249.99,
868042198037,VR80,0,24,24,539.99,
812285025841,VR80-RT,2,7,9,777.99,
812285025612,VR80CA,0,0,0,569.99,
812285025674,VR82,0,0,0,539.99,
812285025544,VRBP100-A,0,0,0,449.99,
812285026374,VRF14,0,0,0,449.99,
812285025605,VRPA40,0,0,0,264.99,
812285021232,10-777,0,0,0,27.99,
812285021164,38747,18,30,48,29.99,
812285021317,380797,0,0,0,22.99,
812285024226,42363,72,34,106,24.99,
812285024240,42379,33,29,62,42.99,
812285023588,46050,9,13,22,20.99,
4806015550891,55089,4,8,12,18.99,
4806015541691,54169-ARM,0,0,0,15.49,
4806015541714,54171,28,10,38,18.99,
4806015541721,54172,0,0,0,15.99,
812285021331,54180B,43,6,49,34.99,
812285021157,54180,5,18,23,30.99,
812285021270,OEMP164015B,0,0,0,29.99,
812285021348,OEMTCM225AFC,15,72,87,19.99,
812285026909,STK10010,8,5,13,11.99,
812285026923,STK10017,8,0,8,11.99,
658175121930,ACMKIRTGBR,0,0,0,89.99,
658175121947,ACMKIRTGCY,2,4,6,89.99,
658175119791,ACMUBHCP1,2,1,3,79.99,
658175115205,ACMUABL1000,2,3,5,269.99,
658175115281,ACMUDCQDM2,5,9,14,89.99,
658175112990,ACMUIR85PR,0,0,0,134.99,
658175115670,DGBNBN4KLRF,3,1,4,789.99,
658175116424,DGWSXS309LTV,3,6,9,529.99,
658175115052,DGWSXS3144KP,11,4,15,609.99,
658175116431,DGWSXS515LTV,4,2,6,599.99,
658175115069,DGWSXS5204KP,4,6,10,699.99,
658175115618,TIBNBX4381L,1,1,2,2259.99,
658175115632,TIBNBX4384L,2,1,3,3349.99,
658175121862,TIMNODN325X,8,10,18,1319.99,1267.19
658175116585,TIMNOLT136X,1,2,3,679.99,
658175116592,TIMNOLT148X,4,1,5,844.99,
658175112563,TIMNOLT319X,0,1,1,1099.99,
658175120391,TIMNOXLT119X,24,8,32,524.99,503.99
658175120407,TIMNOXLT125X,7,2,9,599.99,575.99
658175115076,TIWST4381A,4,4,8,1524.99,
658175115083,TIWST4382A,5,4,9,1859.99,
658175115090,TIWST4384A,7,3,10,2284.99,
658175115106,TIWST4387A,0,1,1,2539.99,
658175115113,TIWST4641A,3,2,5,2539.99,
658175115120,TIWST4642A,1,1,2,2789.99,
658175115144,TIWST4643A,5,2,7,3129.99,
658175115151,TIWST4644A,2,2,4,3549.99,
658175115403,TIWSTLT136X,2,6,8,764.99,
658175115410,TIWSTLT148X,0,2,2,929.99,
658175116455,TIWSTLT319X,2,2,4,1184.99,
658175116462,TIWSTLT325X,4,2,6,1354.99,
658175116479,TIWSTLT335X,0,0,0,1574.99,
658175112556,TIWSTLT350X,6,2,8,1609.99,
602686251112,1911BKO,0,5,5,664.99,
602686422246,1911BKOC6,8,16,24,1089.99,
602686422253,1911BKOC7,17,13,30,1139.99,
602686422352,1911BKOC9,1,0,1,1159.99,
602686421942,1911GCH,12,18,30,1139.99,
602686422499,1911TCAC5N,3,8,11,1429.99,
602686422536,1911TCAC6,19,12,31,944.99,
602686422420,1911TCAC6N,17,3,20,999.99,
602686313056,AOM130,0,0,0,934.99,
602686313087,AOM140,0,0,0,934.99,
602686313094,AOM150,0,0,0,1029.99,
602686311113,MC3010,4,5,9,30.99,
602686311120,MC110AS,1,2,3,30.99,
602686430067,MC3030,0,0,0,,
761862457356,PD10-OC,0,0,0,529.99,
840225709506,SD-122751-US,0,0,0,,
840225708776,SD-123439-2-US,0,0,0,,
,BB-18504,0,0,0,,
816715012012,13273,0,0,0,4131.0,
816715010247,13303-BRT,0,0,0,4026.0,
816715010254,13305,0,0,0,4182.0,
816715011398,13307,0,0,0,4026.0,
816715010025,13316,0,0,0,7700.0,
816715010193,13318,0,0,0,7700.0,
816715012647,14030,0,0,0,7895.0,
816715012616,14031,0,0,0,7895.0,
816715012548,14032,0,0,0,4284.0,
810021510064,18059,0,0,0,11369.0,
810021510071,18062,0,0,0,11369.0,
810021510033,18065,0,0,0,11369.0,
810021510415,18066,0,0,0,11369.0,
810021510439,18067,0,0,0,11369.0,
810021510422,18068,0,0,0,11369.0,
810021510446,18478,0,0,0,5655.0,
810021510453,18479,0,0,0,5655.0,
810021510460,18480,0,0,0,5655.0,
810021510569,18490,0,0,0,5655.0,
810021510576,18491-BRT,1,1,2,5655.0,
810021510590,18493,7,11,18,5655.0,5599.0
810021510606,18494-BRT,3,0,3,5655.0,
810021510620,18496,0,0,0,5655.0,
810021510682,18502,0,0,0,4012.0,
810021510699,18503,0,0,0,4012.0,
810021510705,18504,0,0,0,4012.0,
810021510804,18514-BRT,0,0,0,4012.0,
810021510866,18520,0,0,0,4012.0,
816715012449,12808,12,7,19,171.0,
816715010957,13355,0,0,0,,
816715013453,14077,0,0,0,75.0,
816715010223,13312,0,0,0,5988.0,
810033785177,BA-MLOK-HS,0,0,0,13.99,
810033782534,BAD-ASS-LITE,0,0,0,,
810033785696,BAD-ASS-LITE-BL,8,1,9,48.99,
810033785573,BAD-ASS-LITE-OD,0,4,4,48.99,
810033782565,BAD-ASS-LITE-PR,12,14,26,,
810033785689,BAD-ASS-LITE-RD,0,0,0,48.99,
810033782541,BAD-ASS-PRO,15,10,25,34.99,
810033780486,BAD-EMMR-L-B,0,0,0,18.99,
810033780516,BAD-EMMR-L-FDE,6,0,6,18.99,
810033780509,BAD-EMMR-L-R,20,15,35,18.99,
810033780431,BAD-EMR-B,2,15,17,5.99,
810033780462,BAD-EMR-FDE,2,2,4,5.99,
810033784194,BAD-EMR-OD,26,10,36,5.99,
810033780455,BAD-EMR-R,7,4,11,5.99,
810033780394,BAD-EPS,7,1,8,20.99,
810033780400,BAD-EPS-TI,2,2,4,28.99,
810033780417,BAD-EPS-TI-B,6,1,7,31.99,
810033781261,BAD-LPK-PK3,1,5,6,25.99,
810033781285,BAD-MRK-PK1,0,4,4,12.99,
810033781292,BAD-MRK-PK2,3,4,7,24.99,
810033781834,BAD-RACK-15,0,0,0,64.99,
810033785771,LOM-AP-193,17,0,17,81.99,
810033785788,LOM-AP-ABS,6,6,12,81.99,
082442933849,J212125,0,1,1,500.0,
082442933856,J212126,2,1,3,500.0,
082442188744,J212500,0,0,0,500.0,
082442933825,J320125,2,0,2,500.0,
082442933832,J320126,43,13,56,500.0,
082442188812,J320500,0,0,0,500.0,
082442969411,J80XBLK13,0,0,0,669.0,
082442874500,J90A192FSRF19SK,0,8,8,439.0,
082442736372,J90A1M9A1F19,50,32,82,389.0,
082442736396,J90A1M9F19,0,0,0,389.0,
082442940878,J92CR92070,0,0,0,650.0,
082442940908,J92CR920G70,0,0,0,610.0,
082442940885,J92CR92170,0,0,0,650.0,
082442940915,J92CR921G70,0,0,0,650.0,
082442815503,J92F300M,0,0,0,600.0,
082442940816,J92FR91570,0,0,0,610.0,
082442925998,J92FR915G70,0,0,0,610.0,
082442940793,J92FR92070,0,3,3,650.0,
082442925974,J92FR920G70,2,3,5,610.0,
082442940809,J92FR92170,0,0,0,650.0,
082442925981,J92FR921G70,0,0,0,610.0,
082442937885,J92FSR921,0,0,0,719.0,
082442884967,J92M9A0CA,0,0,0,590.0,
082442816838,J92M9AO,0,0,0,590.0,
082442816371,J92M9AOM,0,0,0,590.0,
082442940854,J92QR91570,0,0,0,610.0,
082442926131,J92QR915G70,0,6,6,610.0,
082442940830,J92QR92070,0,0,0,650.0,
082442926117,J92QR920G70,0,0,0,650.0,
082442940847,J92QR92170,0,0,0,650.0,
082442926124,J92QR921G70,0,0,0,650.0,
082442967363,J92XFMSA21M1,0,0,0,970.0,
082442960357,J92XPCO21,0,0,0,1500.0,
082442111117,J9A4F11,0,0,0,650.0,
082442111087,J9A9F10,0,0,0,575.0,
082442111094,J9A9F11,0,0,0,575.0,
082442954905,JAXF915AI,37,17,54,370.0,
082442954899,JAXF920A1,6,3,9,370.0,
082442954912,JAXF921A1,0,7,7,370.0,
082442943046,JAXN920A1,0,0,0,340.0,
082442943077,JAXN925A1,0,0,0,340.0,
082442943084,JAXN926A1,0,2,2,340.0,
082442943091,JAXN927A1,0,0,0,340.0,
082442940694,JS92M9A4M15,0,0,0,870.0,
082442940687,JS92M9A4GM,0,0,0,870.0,
082442940724,JS92QM9A4GM,0,0,0,870.0,
082442940731,JS92QM9A4M15,0,0,0,870.0,
082442154282,JXC9F21,0,1,1,540.0,
082442864686,JXC9GEL,36,13,49,720.0,720.0
082442819754,JXF5F25,0,0,0,590.0,
082442817286,JXF9F20,0,3,3,540.0,
082442818191,JXF9F21,99,17,116,540.0,
082442974279,SPEC0701A,6,4,10,499.0,
082442969435,SPEC0706A,0,0,0,869.0,
082442884745,J131C11N,0,0,0,1120.0,
082442943138,J131TP18C,0,0,0,1390.0,
082442943114,J131TT18C,0,0,0,1350.0,
082442959849,J32CG11,0,0,0,820.0,
082442960920,J32CS11,0,0,0,900.0,
082442959832,J32CT11,0,0,0,820.0,
082442967479,J32TS18,0,0,0,,
082442967486,J32TS28,0,0,0,,
082442937984,J32TT18,0,0,0,705.0,
082442938066,J32TT28,6,1,7,705.0,
082442938004,J32TU18,17,1,18,770.0,
082442938080,J32TU28,5,4,9,770.0,
082442582252,J40AA26,4,2,6,1430.0,
082442582269,J40AA28,0,0,0,1430.0,
082442709116,J40AA86,0,0,0,1430.0,
082442709109,J40AA88,0,0,0,1430.0,
082442707693,J40AK16,0,1,1,1500.0,
082442707716,J40AK18,2,0,2,1500.0,
082442733319,J40AK18L,2,2,4,1520.0,
082442894102,J40AN16,0,0,0,1550.0,
082442894119,J40AN18,0,0,0,1550.0,
082442923772,J40AN26,0,1,1,1550.0,
082442923789,J40AN28,4,5,9,1550.0,
082442948676,J40AN88,0,0,0,1455.0,
082442707686,J40AW16,1,1,2,1430.0,
082442707709,J40AW18,0,0,0,1430.0,
082442733302,J40AW18L,1,1,2,1450.0,
082442582276,J40AY26,0,0,0,1500.0,
082442582351,J40AY28,2,0,2,1500.0,
082442838038,J40CS10,0,0,0,2490.0,
082442794792,J40CT10,0,0,0,2560.0,
082442837956,J40CT12,0,0,0,2560.0,
082442948171,J42CJ10,0,0,0,1630.0,
082442948164,J42CJ18,0,0,0,1630.0,
082442949789,J42CJ18V,0,0,0,1630.0,
082442948201,J42CK10,0,0,0,1740.0,
082442948195,J42CK18,0,0,0,1740.0,
082442893693,J42XD10,4,3,7,1520.0,
082442893709,J42XD16,4,4,8,1520.0,
082442893716,J42XD18,0,0,0,1520.0,
082442893747,J42XM16,2,4,6,1620.0,
082442893754,J42XM18,0,0,0,1620.0,
082442965024,J42XM28,0,0,0,,
082442893815,J42XN16,4,2,6,1620.0,
082442893822,J42XN18,0,0,0,1620.0,
082442960371,J42XN28,0,1,1,1620.0,
082442967493,J42XS10,0,0,0,,
082442967509,J42XS16,0,0,0,,
082442967516,J42XS18,0,0,0,,
082442960937,J42XS28,0,0,0,1620.0,
082442893846,J42XU16,10,4,14,1620.0,
082442893853,J42XU18,0,0,0,1620.0,
082442960395,J42XU28,0,0,0,1620.0,
082442893877,J42XZ16,6,2,8,1620.0,
082442893884,J42XZ18,0,0,0,1620.0,
082442915036,J686FJ0,0,0,0,1999.0,
082442915043,J686FJ6,0,0,0,1999.0,
082442915050,J686FJ8,0,0,0,1999.0,
082442915067,J686FJ8V,0,0,0,1999.0,
082442915074,J686FK0,0,0,0,1999.0,
082442915081,J686FK6,0,0,0,1999.0,
082442915098,J686FK8,0,0,0,1999.0,
082442915104,J686FK8V,0,0,0,1999.0,
082442915128,J686FM6,0,0,0,1999.0,
082442915135,J686FM8,0,0,0,1999.0,
082442915159,J686FN6,0,0,0,1999.0,
082442915197,J686SJ0,0,0,0,2099.0,
082442915227,J686SJ2,0,0,0,2099.0,
082442942681,JX49221M,0,15,15,700.0,
082442778297,1385979/1,20,20,40,34.99,
082442169217,C89282,99,34,133,29.99,
082442132518,J80400,4,8,12,22.99,
082442012452,JM21,10,5,15,21.99,
082442161679,JM32,12,15,27,21.99,
082442553122,JM4PX917,7,2,9,29.99,
082442553115,JM4PX920,81,69,150,34.99,
082442778242,JM80396HC,0,3,3,35.99,
082442596433,JM904P12,8,8,16,28.99,
082442596426,JM909P17,4,0,4,28.99,
082442133904,JM92F,0,0,0,28.99,
082442778204,JM92HCB,1,7,8,28.99,
082442596464,JM9A115,99,51,150,34.99,
082442873435,JMAPX159,99,48,147,27.99,
082442898650,JMAPX159CENT,7,16,23,27.99,
082442873428,JMAPX179,7,10,17,27.99,
082442873480,JMAPX219,86,21,107,31.99,
082442820606,JMPX4510,17,0,17,32.99,
082442820552,JMPX4S9F,20,17,37,29.99,
043125016198,B14L001C,2,1,3,809.99,
043125016204,B14L002C,0,0,0,809.99,
043125015795,B14L101C,6,3,9,684.99,
043125015801,B14L102C,9,1,10,684.99,
043125016259,B14L501C,1,2,3,734.99,
043125016266,B14L502C,8,0,8,734.99,
043125016211,B14LM001C,0,0,0,809.99,
043125015818,B14LM101C,0,0,0,684.99,
043125015832,B14LM102C,4,1,5,684.99,
043125015160,B14LM111,2,0,2,754.99,
043125016044,B14LM301C,5,0,5,884.99,
043125016051,B14LM301LC,0,0,0,909.99,
043125016068,B14LM358C,1,1,2,929.99,
043125015139,B14LM361,5,0,5,979.99,
043125016075,B14LM361CF,0,0,0,1369.99,
043125015122,B14LM368,3,0,3,1039.99,
043125015399,B14LM5010,0,0,0,814.99,
043125016273,B14LM501C,8,0,8,734.99,
043125016280,B14LM502C,2,1,3,734.99,
043125016303,B14LM508C,0,0,0,734.99,
043125015146,B14LM511,7,0,7,814.99,
043125016341,B14LM511CF,0,0,0,1229.99,
043125015153,B14LM518,0,0,0,814.99,
043125015351,B14LM5610,0,0,0,979.99,
043125015115,B14LM651,2,0,2,979.99,
043125015368,B14LM657,0,0,0,979.99,
