I,UPC
9802,839665002995
9804,839665002919
9805,839665008584
9806,839665008607
9807,839665002971
9808,839665002988
9809,839665009345
9811,839665009000
9812,839665009703
9813,839665009024
9814,839665009789
9815,839665009062
9839,043125014415
9857,816715010193
9860,816715010025
9861,816715012616
9862,816715011404
9864,816715012678
9869,816715010223
9871,816715010254
9872,816715011398
9873,816715012548
9874,816715012012
9875,816715010247
9879,816715012005
10014,642230261488
10089,744253000867
10159,713780241074
10700,023614439646
10703,023614439653
10704,023614439660
10707,023614439691
10708,023614439707
10709,023614439714
10710,023614439721
10715,023614044185
10729,023614439585
10730,023614439578
10731,022188867824
11400,645221000011
11402,645221000059
11510,651984021095
11586,855959001017
11587,855959001031
11590,855959001178
11591,855959001208
11605,855959001147
11745,022188602289
11746,022188635041
11806,813393019081
11811,706397019068
11812,706397019020
11879,725327351238
11880,725327351245
11920,851799004485
11922,851799004263
11923,851799004355
11924,851799004447
11930,851799004454
11931,859735005916
11962,859735005954
11969,859735005961
12006,859735005978
12014,859735005923
12015,859735005992
12027,856183006007
12029,856183006014
12045,859735005985
12055,859735005930
12056,856183006021
12491,813393019425
12492,813393019555
12493,813393019562
12537,706397900014
12541,706397866594
12545,706397853457
12552,706397163013
12554,706397164010
12556,706397853464
12560,706397163020
12562,706397164027
12582,706397900106
12584,706397900113
13124,855959001161
13218,040589022734
13224,040589022888
13236,752334038036
13237,752334091505
13254,848037042347
13380,082442815503
13470,640832000825
13585,725327600527
13586,725327600534
13648,811154030252
13650,023614236917
13651,023614236924
13655,806703911021
13656,806703911908
13658,806703911991
13701,811154030269
13704,764503502170
13711,764503502194
13733,764503502224
13740,764503502231
13760,764503301346
13762,764503301353
13898,062654402036
14250,043125849116
14261,043125948062
14301,736676058013
14302,736676058020
14303,736676058051
14304,736676058068
14313,736676053018
14323,736676051021
14324,736676051014
14326,736676051052
14328,736676051045
14330,736676051076
14331,736676051069
14332,736676051090
14333,736676051083
14501,022188868241
14502,022188868258
14520,812526020543
14521,812526020505
14522,812526020475
14523,812526020482
14524,812526020499
14525,812526020369
14526,812526020932
14528,812526020444
14529,812526020642
14541,082442858883
14543,082442867793
14544,082442859392
14546,082442867809
14554,082442859323
14557,082442859330
14559,082442859255
14564,082442859439
14565,082442858937
14566,082442858807
14570,082442858852
14571,082442858869
14577,082442859194
14578,082442859101
14581,082442859668
14584,082442859583
14585,082442859576
14587,082442859552
14589,082442859712
14590,082442859682
14594,082442859828
14595,082442859866
14596,082442859743
14599,082442859774
14628,082442859729
14634,015813851107
14644,015813852326
14660,015813542104
14664,015813571104
14665,015813571203
14666,082442859750
14737,082442859835
14739,082442859804
14846,023614250029
14848,023614250043
14855,023614249979
14856,023614249986
14858,023614250005
14869,082442859781
14902,798681306701
14995,082442859620
14996,082442859569
15001,082442859880
15002,082442859873
15005,082442858982
15006,082442858876
15008,082442858814
15010,082442858821
15013,082442859026
15014,082442858906
15015,082442858975
15018,082442858890
15019,082442859545
15027,082442859415
15028,082442859019
15029,082442859378
15049,082442859248
15070,022188634600
15071,022188635010
15075,022188630527
15091,022188702316
15105,082442859514
15108,082442859279
15109,082442859293
15114,082442858838
15140,082442858760
15169,082442858784
15170,082442858777
15194,082442859163
15204,640832000450
15206,082442859064
15207,082442858968
15209,082442858944
15213,640832004182
15228,640832004090
15232,640832000795
15300,082442859767
15301,082442859217
15302,082442859361
15304,082442858920
15305,082442858913
15307,082442859071
15308,082442859538
15309,082442859477
15360,642230261563
15361,642230261570
15362,642230261440
15363,642230261457
15366,642230261587
15368,642230261471
15374,642230261464
15379,642230261426
15381,642230261402
15384,642230261525
15385,642230261495
15387,642230261112
15558,727962500132
15559,727962500361
16017,082442859859
16091,640832000832
16142,602686067218
16276,682146348309
16277,682146348422
16509,764503385025
16514,764503395024
17113,619835011008
17251,725327602118
17252,725327602125
17253,725327600954
17254,725327600978
17286,725327601036
17305,798681553372
17685,023614250951
17695,023614250968
17696,023614250975
17742,640832000856
17863,098289111159
17938,869481000172
18130,619835010001
18153,082442817293
18154,082442817286
18155,082442818191
18156,082442818207
18442,602686047319
18791,815604019248
18792,815604019385
18876,744253001550
18877,744253001543
18878,744253001529
18988,619835012005
19123,022188702620
19161,098289111203
19162,098289111180
19163,098289111197
19164,048702007316
19663,022188867244
19664,022188868135
19720,736676211524
19721,736676471706
19739,736676471669
19741,736676058044
19772,082442736372
19773,082442736365
19847,736676211555
19853,022188868432
20113,855148002573
20114,855148002580
20115,855148002610
20116,855148002627
20117,854026005439
20119,854026005453
20120,860942000229
20121,859890005288
20149,810083266541
20175,747115427383
20195,784672476874
20252,736676067220
20356,815648022150
20400,815648021757
20401,815648021764
20402,815648021771
21092,015813853224
21165,023614252733
21171,023614251552
21277,736676086085
21285,736676086184
21286,736676086382
21636,806703011943
21803,848037045331
21804,764503225093
21807,764503235092
21808,764503992254
