itemNumber,upc,mfgModelNumber,quantity,allocated,onSale,price,currentPrice,retailMap
RE81176,810070689056,R81176,0,True,False,588.0,588.0,0.0
FN96-100718,845737016142,96-100718,0,False,False,599.0,599.0,799.0
QQMINIFIX556-16,850035705308,MINIFIX-556-16IN-GRAY,0,True,False,2399.2,2399.2,2899.0
CI920.192,8053670710771,920.192,0,True,False,1052.88,1052.88,0.0
CI920.187,8053670710696,920.187,0,True,False,1052.88,1052.88,0.0
CI920.188,8053670710702,920.188,0,True,False,1052.88,1052.88,0.0
FN96-100717,845737016159,96-100717,0,False,False,599.0,599.0,799.0
FN20-100732,845737016098,20-100732,0,False,False,53.0,53.0,69.99
RE83465,810070689513,R83465,0,True,False,1029.0,1029.0,0.0
BR035-582229,023614856160,035582229,0,False,False,2029.0,2029.0,0.0
BR035-582297,023614856184,035582297,0,False,False,2029.0,2029.0,0.0
BR035-583218,023614856221,035583218,0,False,False,1989.0,1989.0,0.0
SVSMC9MSBNS,011356670021,67002,0,False,False,421.74,421.74,0.0
SVSMC9MSG,011356670083,67008,0,False,False,369.02,369.02,0.0
SVSMC9MSFNS,011356670069,67006,0,False,False,421.74,421.74,0.0
SVSMC9MSBLS,011356670168,67016,0,False,False,432.28,432.28,0.0
SVSMC9MSB10,011356670342,67034,0,False,False,369.02,369.02,0.0
SVSMC9MSF10,011356670380,67038,0,False,False,369.02,369.02,0.0
SVSMC9MSBLS10,011356670465,67046,0,False,False,432.28,432.28,0.0
SVSMC9B,011356670014,67001,1,False,False,369.02,369.02,0.0
SVSMC9FNS,011356670076,67007,2,False,False,421.74,421.74,0.0
SVSMC9GNS,011356670113,67011,2,False,False,421.74,421.74,0.0
SVSMC9MSB,011356670007,67000,1,False,False,369.02,369.02,0.0
SVSMC9BLS,011356670175,67017,1,False,False,432.28,432.28,0.0
WN6101M,656813107353,6101M,12,False,False,56.86,56.86,84.49
WNMECZ75-5GR,656813108312,MECZ75-5GR,8,False,False,27.01,27.01,35.99
WNMEG17-5/4BLK,656813107636,MEG17-5/4BLK,0,False,False,24.27,24.27,31.99
TA856BSW,725327934004,2-856021SW,0,True,False,290.5945,290.5945,0.0
CD930.318,8053800944014,930.318,0,False,False,278.29,278.29,0.0
CI340.319,8053800944038,340.319,0,False,False,1305.42,1305.42,0.0
CI500.255,8053800944182,500.255,0,True,False,187.74,187.74,0.0
CICF340.319,8053800944045,CF340.319,0,False,False,1305.42,1305.42,0.0
CI340.314,8053800943024,340.314,0,True,False,1229.06,1229.06,0.0
CI500.260,8053800944168,500.260,0,True,False,415.5,415.5,0.0
FP12037,810065120373,12037,2,False,True,539.0,525.0,0.0
FP12032,810065120328,12032,4,False,True,539.0,525.0,0.0
FP12031,810065120311,12031,4,False,True,1160.0,1130.0,0.0
FP12030,810065120304,12030,3,False,True,1160.0,1130.0,0.0
CN8010619900,696528091660,801-06199-00,3,False,False,2126.99,2126.99,2399.99
CN8010617600,696528091349,801-06176-00,1,False,False,2259.99,2259.99,2549.99
CN8010616600,696528091233,801-06166-00,1,False,False,2037.99,2037.99,2299.99
CN8010617100,696528091271,801-06171-00,1,False,False,2259.99,2259.99,2549.99
BR011-9115004,023614853190,0119115004,0,True,False,1759.0,1759.0,0.0
BR011-8205004,023614853718,0118205004,0,True,False,1779.0,1779.0,2079.99
BR018-729203,023614853374,018729203,0,True,False,1929.0,1929.0,0.0
ATGERG1911ADOPS,819644026426,GERG1911ADOPS,0,False,False,279.95,279.95,0.0
WNMEG43X-4BLK,656813107872,MEG43X-4BLK,0,False,False,24.27,24.27,31.99
WNMESW-5/4BLK,656813108138,MESW-5/4BLK,8,False,False,24.27,24.27,31.99
SYDVG-1CB,850013592005,DVG-1CB,0,False,False,231.0,231.0,0.0
SYDVG-1TT,850013592012,DVG-1TT,0,False,False,225.0,225.0,0.0
WNMESW-5/4DE,656813108152,MESW-5/4DE,8,False,False,27.01,27.01,35.99
RE68878,810070688783,R68878,0,True,False,514.5,514.5,0.0
TA327SS,725327627449,2-32729,0,True,False,275.027,275.027,0.0
TA605DT3,725327935070,2-6053CNS,0,True,False,358.054,358.054,0.0
RE68867,810070688677,R68867,0,True,False,448.35,448.35,0.0
RE68868,810070688684,R68868,0,True,False,551.25,551.25,0.0
RE68873,810070688738,R68873,0,True,False,551.25,551.25,0.0
RE68874,810070688745,R68874,0,True,False,551.25,551.25,0.0
WNMEG43-4BLK,656813107858,MEG43-4BLK,0,False,False,24.27,24.27,31.99
SVSMC9BLS10,011356670472,67047,0,False,False,432.28,432.28,0.0
FP12028,810065120281,12028,4,False,True,1160.0,1130.0,0.0
BR035-559288,023614853626,035559288,0,True,False,1129.0,1129.0,0.0
CN8010617800,696528091363,801-06178-00,1,False,False,2259.99,2259.99,2549.99
WI535727212,048702009501,535727212,0,True,False,689.0,689.0,0.0
CD930.316,8053800943994,930.316,0,False,False,149.99,149.99,0.0
WI511252391,048702018756,511252391,0,False,False,779.0,779.0,0.0
WI511286392,048702022425,511286392,0,False,False,889.0,889.0,0.0
WI535727296,048702018503,535727296,0,True,False,689.0,689.0,0.0
IWM9ORP17NS,818004023013,M9ORP17NS,0,True,False,464.0,464.0,534.99
IWM9ORP10NS,818004023020,M9ORP10NS,0,False,False,464.0,464.0,534.99
IWM9ORP17FDNS,818004023037,M9ORP17FDNS,0,False,False,464.0,464.0,534.99
IWM9ORP10FDNS,818004023044,M9ORP10FDNS,0,True,False,464.0,464.0,534.99
IWM9ORP10ODNS,818004023068,M9ORP10ODNS,0,True,False,464.0,464.0,534.99
IWM9ORP17TNS,818004023075,M9ORP17TNS,0,True,False,464.0,464.0,534.99
IWM9ORP10TNS,818004023082,M9ORP10TNS,0,True,False,464.0,464.0,534.99
WI511304692,048702024115,511304692,0,True,False,879.0,879.0,0.0
IWM9ORP17TFDNS,818004023099,M9ORP17TFDNS,0,True,False,464.0,464.0,534.99
IWM9ORP10TODNS,818004023129,M9ORP10TODNS,0,True,False,464.0,464.0,534.99
IWM9ORP10TFDNS,818004023105,M9ORP10TFDNS,0,True,False,464.0,464.0,534.99
CD440.147,8053800943932,440.147,0,True,False,719.02,719.02,0.0
CD440.072,8053670719736,440.072,0,True,False,671.09,671.09,0.0
CD930.303,8053800944021,930.303,0,False,False,1474.72,1474.72,0.0
CD930.312,8053800943956,930.312,0,False,False,555.56,555.56,0.0
HNH006CSL,619835060556,H006CSL,0,True,False,825.0,825.0,0.0
BR051-581490,023614853947,051581490,5,False,False,689.0,689.0,829.99
RO5T16ASGIT,019962532764,5T16ASGIT,7,False,False,565.0,565.0,749.99
RO5P1556,019962533969,5P1556,0,False,False,390.0,390.0,549.99
IWM9ORP17TODNS,818004023112,M9ORP17TODNS,0,True,False,464.0,464.0,534.99
WI511304691,048702024108,511304691,0,True,False,879.0,879.0,0.0
WI511304392,048702024078,511304392,0,True,False,769.0,769.0,0.0
WI511304391,048702024061,511304391,0,True,False,769.0,769.0,0.0
CD930.204PT,8053800943628,930.204PT,0,False,False,272.22,272.22,0.0
WI511303291,048702024023,511303291,0,False,False,879.0,879.0,0.0
WI511304291,048702024085,511304291,0,True,False,859.0,859.0,0.0
WI511286391,048702022418,511286391,0,False,False,889.0,889.0,0.0
CD930.313,8053800943963,930.313,0,False,False,272.22,272.22,0.0
WI511283291,048702022333,511283291,0,False,False,989.0,989.0,0.0
WI511305291,048702024474,511305291,0,False,False,989.0,989.0,0.0
WI511306291,048702024511,511306291,0,False,False,989.0,989.0,0.0
CD930.315,8053800943987,930.315,0,False,False,262.1,262.1,0.0
WI535727289,048702009518,535727289,0,True,False,689.0,689.0,0.0
WI535727208,048702021138,535727208,0,True,False,689.0,689.0,0.0
WI535727290,048702009532,535727290,0,True,False,689.0,689.0,0.0
WI535727294,048702020926,535727294,0,True,False,689.0,689.0,0.0
WI512433692,048702024276,512433692,15,False,False,369.0,369.0,0.0
WI511306292,048702024528,511306292,0,False,False,989.0,989.0,0.0
WI535727226,048702009549,535727226,0,True,False,689.0,689.0,0.0
WI535727228,048702009556,535727228,0,True,False,689.0,689.0,0.0
WI511303292,048702024030,511303292,0,False,False,879.0,879.0,0.0
WI511303391,048702024009,511303391,0,False,False,789.0,789.0,0.0
WI511303392,048702024016,511303392,0,False,False,789.0,789.0,0.0
WI511303691,048702024047,511303691,0,False,False,899.0,899.0,0.0
WI511303692,048702024054,511303692,0,False,False,899.0,899.0,0.0
WI511304292,048702024092,511304292,0,True,False,859.0,859.0,0.0
CI920.426,8053800944076,920.426,0,True,False,413.89,413.89,0.0
BR011-8205005,023614853701,0118205005,0,True,False,1779.0,1779.0,2079.99
CN8010618800,696528091530,801-06188-00,1,False,False,2126.99,2126.99,2399.99
CN8010618300,696528091431,801-06183-00,1,False,False,2259.99,2259.99,2549.99
BR051-990492,023614857693,081990492,0,False,False,709.0,709.0,0.0
BR051-985492,023614857648,051985492,0,False,False,709.0,709.0,0.0
BR051-986492,023614857655,051986492,0,False,False,709.0,709.0,0.0
BR051-952492,023614739555,051952492,0,True,False,829.0,829.0,0.0
BR051-953492,023614739562,051953492,0,True,False,829.0,829.0,0.0
AD64201,850036491248,64201,0,False,False,50.0,50.0,74.99
SS-2046,810013432824,SS-2046,2,False,False,711.2,711.2,889.0
FN66-101117,845737014377,66-101117,0,False,False,1024.0,1024.0,1199.0
FN66-101068,845737013592,66-101068,0,False,False,1109.0,1109.0,1299.0
FN66-101116,845737014384,66-101116,0,False,False,1109.0,1109.0,1299.0
BR051-989492,023614857686,051989492,0,False,False,709.0,709.0,0.0
FN20-100572,845737014155,20-100572,0,False,False,43.0,43.0,54.99
TDR59115060,040589029719,R59115060,2,False,False,348.29,348.29,0.0
CN8010110800,691328238505,801-01108-00,1,False,False,1558.99,1558.99,1799.99
TDR56115060,040589029726,R56115060,3,False,False,340.33,340.33,0.0
FN66-101115,845737014391,66-101115,0,False,False,1024.0,1024.0,1199.0
BR011-434205,023614853305,011434205,0,False,False,1039.0,1039.0,0.0
BR011-434204,023614853312,011434204,0,False,False,1039.0,1039.0,0.0
BR011-435205,023614853329,011435205,0,False,False,999.0,999.0,0.0
BR011-435204,023614853336,011435204,0,False,False,999.0,999.0,0.0
BGBPR37-65PRC,043125065462,BPR37-65PRC,0,False,False,2640.91,2640.91,3049.99
BGBPR26-300WM,043125300426,BPR26-300WM,0,False,False,1912.5,1912.5,2249.99
FN20-100574,845737014179,20-100574,0,False,False,43.0,43.0,54.99
BR051-988492,023614857679,051988492,0,False,False,709.0,709.0,0.0
BR051-987492,023614857662,051987492,0,False,False,709.0,709.0,0.0
BR051-894490,023614857594,051894490,0,True,False,599.0,599.0,0.0
BR035-583294,023614856245,035583294,0,False,False,2009.0,2009.0,0.0
BR035-583299,023614856269,035583299,0,False,False,2009.0,2009.0,0.0
BR035-583298,023614857327,035583298,0,False,False,2009.0,2009.0,0.0
BR035-583227,023614856283,035583227,0,False,False,2009.0,2009.0,0.0
BR035-583229,023614856320,035583229,0,False,False,2009.0,2009.0,0.0
BR035-582299,023614856108,035582299,0,False,False,2009.0,2009.0,0.0
BR035-559298,023614857235,035559298,0,True,False,1099.0,1099.0,0.0
BR035-558298,023614857228,035558298,0,True,False,1059.0,1059.0,0.0
BR035-560292,023614856788,035560292,0,False,False,1289.0,1289.0,0.0
WI511310291,048702025945,511310291,0,False,False,969.0,969.0,0.0
WI511313291,048702026003,511313291,0,False,False,969.0,969.0,0.0
WI511312292,048702025990,511312292,0,True,False,969.0,969.0,0.0
WI511311292,048702025976,511311292,0,False,False,969.0,969.0,0.0
WI511310292,048702025952,511310292,0,False,False,969.0,969.0,0.0
WI511313292,048702026010,511313292,0,False,False,969.0,969.0,0.0
WI512454690,048702026041,512454690,0,True,False,439.0,439.0,0.0
BR051-584490,023614857556,051584490,0,True,False,599.0,599.0,0.0
BR051-585490,023614857563,051585490,0,True,False,599.0,599.0,0.0
BR051-895490,023614857600,051895490,0,True,False,599.0,599.0,0.0
BR051-896490,023614857617,051896490,0,True,False,599.0,599.0,0.0
BR051-897490,023614857624,051897490,0,True,False,599.0,599.0,0.0
BR051-898490,023614857631,051898490,0,True,False,599.0,599.0,0.0
BR051-893490,023614857587,051893490,0,True,False,599.0,599.0,0.0
