I,Q,P,UPC
92360,7,602.66,011356221650
92361,25,602.66,011356221667
92495,0,1394.53,839665005828
92496,0,641.35,839665004722
92498,1,681.42,839665003770
92499,0,491.5,839665001110
92500,15,467.48,839665009963
92501,0,472.4,839665001868
92502,12,472.4,839665009079
92505,0,501.38,839665009420
92506,1,625.24,839665009987
92507,2,620.31,839665004920
92508,0,524.44,839665009871
92509,0,2202.56,839665007716
92512,0,531.45,839665002957
92540,2,1049.72,848037021137
92582,0,1133.0,798681450107
92583,0,1046.0,798681450053
92714,0,59.86,852005002097
93004,0,911.6,848037022592
93005,0,1022.1,848037022912
93099,0,1447.0,098289042644
93380,25,332.11,602686087315
93381,0,380.45,048702004346
93382,1,380.45,048702004360
93383,0,377.11,048702004063
93384,25,377.11,048702004070
93386,25,410.0,736676069453
93389,25,410.0,736676069736
93390,25,410.0,736676069743
93403,22,820.94,787450077676
93405,25,437.0,706397866129
93419,0,246.64,744253002151
93488,22,377.11,048702004148
93490,9,377.11,048702004131
93507,25,425.18,798681505951
93510,25,448.0,798681506019
93518,0,860.44,619835016232
93667,25,334.0,736676083053
93668,25,334.0,736676083220
93669,25,334.0,736676083121
93670,0,334.0,736676083060
93748,0,1272.68,048702004186
93751,0,802.87,851799004003
93776,0,187.0,857679003159
93809,25,374.0,022188864823
93813,25,335.0,022188083903
93914,25,309.53,678958538403
93974,0,410.99,619835011060
94456,25,644.99,602686251112
94477,0,756.91,848037028464
94480,0,1193.37,848037025081
94593,0,1133.0,798681503995
94598,11,295.74,062654932175
94766,0,798.46,851799004188
94798,3,1298.34,848037028945
94799,0,1243.09,848037029355
94845,17,307.07,602686177313
94948,0,395.0,736676069170
94979,25,430.0,015813522809
94980,25,535.0,015813532655
94997,25,558.72,015813852227
95006,0,569.0,736676054565
95033,25,719.32,640832003284
95081,25,675.0,736676085002
95085,0,1221.98,619835060211
95267,0,761.54,619835016263
95280,25,326.3,744253002632
95281,0,347.67,744253002649
95400,0,1548.72,806703019123
95401,0,1467.32,806703019000
95532,0,1106.0,098289042927
95604,0,1708.47,761226087083
95605,0,1830.42,761226087199
95607,0,1521.18,761226087328
95608,0,1516.82,761226087212
95610,0,1516.82,761226087229
95623,0,784.0,761226087137
95626,0,784.0,761226087267
95657,0,1547.31,761226087205
95661,0,1037.58,812441021175
96019,7,499.99,713780241067
96020,25,589.0,713780241715
96021,0,411.1,713780201382
96030,0,477.77,713780302065
96492,25,361.0,022188864076
96511,0,3432.82,023614043775
96512,0,3432.82,023614043768
96515,0,3432.82,023614043805
96517,0,3432.82,023614043799
96518,0,3432.82,023614043829
96519,0,3432.82,023614043812
96520,0,3095.57,023614400684
96521,0,3095.57,023614400677
96580,21,719.32,640832006094
96617,0,520.19,023614400912
96618,0,520.19,023614400936
96619,0,520.19,023614400929
96633,10,438.43,023614043379
96634,0,356.67,023614043386
96636,1,469.09,023614043393
96639,0,571.29,023614853947
96641,0,591.73,023614042396
96643,0,612.16,023614044451
96653,0,395.69,619835011077
96654,0,423.08,619835011084
96655,0,496.7,619835011091
96656,0,1221.98,619835044044
96657,0,860.44,619835016270
96658,0,1260.44,619835044051
96659,0,835.16,619835016324
96660,0,720.88,619835016300
96661,0,734.07,619835016317
96663,0,562.64,619835016294
96664,0,1272.53,619835044068
96665,0,1570.33,619835060266
96667,0,774.73,619835060297
96669,0,1570.33,619835060273
96670,0,774.73,619835060303
96671,0,774.73,619835060280
96702,0,469.09,048702004629
96703,0,469.09,048702004636
96704,0,469.09,048702004643
96705,0,469.09,048702004650
96727,0,1133.0,798681504138
96776,0,1450.19,048702004254
96777,0,1450.19,048702004261
96778,0,1031.18,048702004766
96787,50,29.29,815835015408
96789,0,35.72,815835015415
96802,0,10.87,815835011974
96803,0,11.0,815835011981
96811,0,377.11,048702004339
96812,0,377.11,048702004353
96813,0,336.23,048702004681
96817,0,315.79,048702004735
96818,0,315.79,048702004742
96821,0,295.35,048702004971
96822,0,407.77,048702005060
96823,0,407.77,048702004988
96839,25,492.0,736676054312
96854,0,483.0,798681513505
96867,0,494.44,813393019951
96901,25,332.0,736676083343
96902,25,332.0,736676083350
96986,0,334.0,015813278386
96987,0,367.0,015813278409
96988,8,334.0,015813278645
96990,0,334.0,015813278843
96992,1,334.0,015813278928
96995,25,451.0,015813279321
96996,0,451.0,015813279338
96997,0,451.0,015813279345
96998,7,454.19,015813279352
97006,0,695.0,015813517737
97028,0,1539.0,856304004783
97029,0,1699.0,856304004806
97038,0,919.0,856304004080
97039,0,999.0,856304004691
97041,0,478.0,015813278355
97044,0,478.0,015813278416
97046,0,334.0,015813278430
97048,0,478.0,015813278492
97052,0,334.0,015813278515
97056,0,367.0,015813278539
97058,0,478.0,015813278614
97066,23,367.0,015813278676
97067,0,478.0,015813278768
97068,0,334.0,015813278775
97069,0,478.0,015813278829
97072,0,478.0,015813278904
97113,0,688.0,015813279246
97195,0,508.0,015813277785
97274,25,499.0,747115424009
97417,12,395.63,678958238723
97419,0,381.46,678958344318
97420,0,326.97,678958523300
97421,0,326.97,678958523409
97422,0,326.97,678958523706
97423,0,337.87,678958722420
97424,0,337.87,678958723427
97425,0,392.36,678958745207
97426,18,148.27,727962500149
97432,25,616.0,764503002670
97440,17,699.0,642230261686
97444,0,1209.0,642230261501
97446,0,1209.0,642230261020
97448,0,1289.0,642230261037
97556,0,1012.0,736676068296
97557,0,893.99,736676068302
97576,9,983.23,806703064550
97577,25,983.23,806703064567
97578,9,1228.77,806703064598
97579,12,819.54,806703064697
97585,25,819.54,806703064710
97587,16,839.0,806703064727
97590,19,819.54,806703064734
97596,19,429.0,806703064307
97605,0,409.23,806703065328
97698,0,1145.79,602686313148
97699,0,1154.52,602686313155
97700,0,1306.19,602686313162
97701,5,856.2,602686263009
97703,5,244.87,752334038067
97704,7,255.68,752334091819
97705,6,255.39,752334340177
97706,7,255.39,752334345165
97749,2,1825.38,651984015957
97750,2,1825.38,651984015933
97751,2,1750.0,651984015858
97752,2,1750.0,651984015872
97753,1,1750.0,651984015988
97757,7,1410.77,651984015209
97758,0,1410.77,651984015247
97759,2,1313.85,651984015261
97760,25,1319.23,651984015292
97842,0,974.0,736676471393
97845,0,821.0,736676017553
97847,25,826.0,736676067114
97848,0,1628.0,706397900755
97879,0,1450.0,082442733302
97881,0,1520.0,082442733319
97910,20,679.54,806703911946
97925,0,851.38,011356224484
97940,0,500.4,011356969729
97941,0,602.66,011356221674
97942,25,602.66,011356221681
97947,25,120.75,062654400605
97948,25,161.68,062654400612
97949,1,259.91,062654287176
97950,25,153.49,062654136177
97956,0,217.92,744253002663
97957,0,315.95,744253002311
97958,0,298.78,744253002175
97959,0,282.5,744253001963
97960,0,338.6,744253001970
97961,0,292.91,744253002434
97962,0,350.93,744253002441
98180,0,569.05,723364207310
98284,25,499.0,884110757722
98309,0,410.74,855959003301
98310,12,406.87,855959002267
98338,0,2748.1,023614043997
98339,0,2748.1,023614043980
98340,1,2748.1,023614044031
98341,0,2748.1,023614044024
98361,0,591.73,023614055693
98362,0,591.73,023614058700
98363,0,591.73,023614058717
98364,0,591.73,023614062042
98365,0,591.73,023614062356
98366,0,591.73,023614400608
98367,0,591.73,023614400615
98368,0,591.73,023614400622
98369,0,591.73,023614400639
98384,0,663.26,023614044178
98416,0,410.34,011356470010
98659,0,1584.0,0
98675,0,575.51,040589020389
98677,0,594.78,040589021201
98755,0,189.35,816701017618
99132,10,778.56,747115425471
99133,0,778.56,747115425488
99720,25,261.8,813393018442
99721,25,261.8,813393018435
99722,0,735.04,855319005082
99723,0,843.75,815648020033
99724,5,874.38,855319005099
99725,0,840.28,815648022334
99726,0,847.22,815648022358
99771,0,77.02,855319005013
99772,25,73.97,855319005020
99773,0,77.02,855319005037
99774,15,77.02,855319005044
99776,25,68.97,855319005051
99828,25,349.0,022188866506
99835,6,353.59,611613200208
99836,8,467.28,611613200307
99932,1,683.64,784672476942
99936,0,1192.49,784672476966
99957,1,1191.01,842834104253
99963,21,745.0,842834108176
100005,10,502.0,022188870732
100015,0,993.41,619835016577
100016,0,964.84,619835044075
100018,25,429.0,619835002037
100030,0,447.0,736676269655
100031,0,447.0,736676269686
100032,0,611.0,736676269518
100033,0,611.0,736676269525
100034,25,611.0,736676269532
100036,25,447.0,736676269228
100037,0,447.0,736676269440
100038,25,447.0,736676269488
100039,0,447.0,736676269716
100041,25,447.0,736676269730
100043,0,526.0,736676269235
100044,0,526.0,736676269242
100045,25,526.0,736676269259
100046,25,526.0,736676269266
100047,0,526.0,736676269273
100048,0,526.0,736676269280
100049,0,526.0,736676269297
100050,0,1280.0,736676180288
100051,0,1280.0,736676180295
100053,0,1073.0,736676471836
100054,0,446.0,736676083602
100056,0,826.0,736676067589
100057,0,567.0,736676401260
100065,0,841.0,736676067596
100165,25,109.0,754908211302
100166,25,136.36,754908211401
100167,25,159.27,754908211609
100168,0,159.27,754908211500
100179,25,615.22,787450474901
100185,0,267.31,725327615316
100186,25,267.31,725327615347
100187,0,267.31,725327615323
100188,0,267.31,725327615354
100189,0,721.33,725327615583
100190,0,731.93,725327615965
100191,0,503.87,725327616023
100192,0,546.3,725327616009
100193,0,502.81,725327616016
100194,0,546.3,725327615996
100451,0,490.75,855959006135
100460,13,367.84,752334900111
100463,5,325.56,752334009968
100464,3,337.08,752334401205
100465,0,351.69,752334900258
100536,25,87.72,815421020434
100537,25,94.79,815421022315
100538,25,114.86,815421022322
100545,25,458.16,022188873047
100548,0,472.42,712038922260
100554,25,590.0,082442884967
100634,0,520.0,082442898353
100635,25,520.0,082442898360
100636,25,650.0,082442897899
100638,0,720.0,082442884936
100639,1,770.0,082442884943
100640,0,770.0,082442897912
100641,0,780.0,082442897851
100642,12,780.0,082442897844
100643,0,810.0,082442897868
100644,0,950.0,082442897875
100645,0,950.0,082442897882
100646,0,800.0,082442867816
100648,0,1949.0,082442897929
100719,25,481.11,022188872774
100720,25,448.0,022188872743
100721,25,421.11,022188874402
100792,0,212.15,725327616030
100883,2,469.0,015813502054
100884,0,534.0,015813502061
100897,0,2247.33,023614735120
100898,0,2247.33,023614735113
100990,2,739.41,839665000090
100991,15,751.28,839665005323
100992,7,866.91,839665003763
100993,0,781.64,839665003305
100994,0,803.06,839665005989
100995,0,607.13,858944006462
100996,0,602.19,858944006479
100997,0,504.68,839665008485
100998,0,509.62,839665008027
100999,0,504.68,839665008454
101000,0,509.62,839665008461
101001,17,582.48,839665009826
101002,14,587.39,839665000977
101038,25,86.9,815648021979
101111,0,877.88,048702016967
101112,0,877.88,048702016950
101115,0,346.45,048702016790
101116,0,346.45,048702016783
101117,0,336.23,048702017100
101118,2,336.23,048702017117
101120,0,1286.67,048702017155
101125,0,959.64,048702017179
101126,0,612.16,048702015977
101127,0,612.16,048702015984
101128,0,1112.93,048702006852
101136,0,1317.33,048702017148
101156,0,448.0,798681572762
101349,0,1553.0,818773020022
101524,25,361.0,022188869743
101525,25,361.0,022188872934
101664,0,2131.87,811452021587
101665,0,2131.87,811452021594
101755,0,364.47,812052024169
101756,0,428.34,812052024176
101757,0,428.34,812052024183
101758,25,485.6,812052024091
101759,0,536.25,812052024213
101760,9,483.47,812052024107
101791,0,2147.99,818725010972
101794,0,1406.0,706397919498
101801,0,1259.0,706397919528
101802,14,772.38,682146281811
101808,3,768.71,682146386103
101809,3,768.71,682146389036
101810,6,768.71,682146389173
101811,0,768.71,682146386080
101812,0,768.71,682146389050
101813,0,768.71,682146389197
101814,2,867.03,682146386134
101815,5,867.03,682146389081
101816,6,867.03,682146389227
101817,0,867.03,682146386165
101818,0,867.03,682146389128
101819,0,867.03,682146389265
101820,0,77.02,815648027490
101821,0,790.68,682146386158
101823,0,790.68,682146389241
101835,0,768.71,682146389098
101836,0,768.71,682146389234
101934,19,521.55,839665007488
101935,0,528.1,839665007570
101936,4,521.55,839665000229
101937,0,528.1,839665000212
101938,22,501.06,839665002933
101939,0,505.99,839665001936
101940,0,616.69,839665000953
101941,0,621.62,839665000960
101942,0,540.91,839665004951
101943,7,535.98,839665004968
101944,4,818.99,839665001004
101945,0,626.58,839665000274
101946,0,626.58,839665000250
101947,0,626.58,839665000281
101948,0,631.52,839665000267
101949,0,591.98,839665009321
101950,0,596.92,839665008911
101951,0,771.86,839665003909
101952,0,771.86,839665007761
101953,0,606.81,839665007754
101954,0,611.76,839665003916
101955,0,584.31,839665000373
101956,0,584.31,839665000366
101957,0,658.96,839665007860
101958,0,658.96,839665007853
101959,0,1000.52,839665007631
101960,0,1000.52,839665007679
101961,0,1000.52,839665007518
101962,0,1589.68,839665008621
101963,0,1586.39,839665002537
101964,0,1141.19,839665002261
101965,0,1271.46,839665002469
101966,0,1378.62,839665002353
101967,0,1378.62,839665005965
101968,0,1752.77,839665001530
101969,0,1692.58,858944006486
101970,0,1692.58,839665006498
101971,0,1202.37,839665001998
101972,0,1629.1,839665004838
101976,0,1310.57,839665000540
101977,0,993.87,839665002483
101978,0,972.55,839665002056
101979,0,1242.45,858944006059
101980,0,1242.45,858944006509
102033,0,1275.0,098289111579
102034,0,1699.0,098289111784
102119,0,1949.0,082442897936
102120,25,519.0,736676191024
102139,25,373.0,022188868319
102260,0,421.35,816903022366
102262,20,421.35,816903022434
102281,25,1602.13,897903003012
102282,25,1602.13,897903003104
102283,12,1262.02,897903002213
102287,5,1388.33,897903002688
102718,25,113.74,851799004966
102719,25,228.77,851799004690
102720,25,228.77,851799004768
102721,25,247.07,851799004775
102722,0,203.93,851799004959
102723,25,377.79,851799004751
102724,0,398.71,851799004898
102830,25,450.15,806703016207
102831,25,901.38,806703065885
102832,25,983.23,806703064178
102833,25,887.38,806703064185
102834,25,901.38,806703065830
102840,0,1954.0,098289111791
102998,2,517.79,814230011190
102999,0,537.22,814230011237
103000,0,486.17,844234102150
103001,0,512.25,814230011152
103002,0,520.54,814230010643
103003,0,520.54,814230010650
103004,0,520.54,814230010612
103005,0,520.54,814230010629
103006,0,572.91,844234101702
103007,0,602.65,814230010544
103008,0,538.16,844234109944
103009,0,727.84,814230010605
103010,9,727.84,814230010599
103011,25,509.93,814230112217
103012,0,509.93,814230010902
103013,3,509.93,844234103140
103014,0,509.93,844234103133
103015,0,460.37,844234129942
103016,0,460.37,844234129904
103017,0,532.85,844234129836
103018,0,532.85,844234129829
103019,0,532.85,844234129850
103020,0,532.85,844234129843
103021,0,630.42,844234129515
103022,0,816.49,814230011350
103023,0,820.62,844234108954
103024,0,475.49,844234107377
103025,0,1230.56,814230010254
103026,0,1230.56,814230011282
103272,0,2156.0,816715019196
103280,0,1463.0,816715018748
103281,0,1463.0,816715018755
103282,0,1463.0,816715018762
103476,25,540.0,022188870664
103477,6,540.0,022188871043
103493,0,1483.52,646809581632
103494,0,2086.81,791154363058
103496,0,1702.2,791154363126
103497,0,1702.2,646809580123
103498,15,1702.2,791154362686
103684,0,222.76,725327616047
103740,0,159.48,840906108840
103741,0,278.09,840906111222
103745,0,1523.7,840906115084
103747,0,1585.46,840906115091
103751,0,2100.23,840906115213
103755,0,2596.15,840906111758
103759,0,2967.03,840906118290
103761,0,3226.65,840906113271
103762,0,3026.8,840906112038
103763,0,3028.85,840906113264
103903,0,2904.55,800732700731
103907,0,2904.55,800732701042
103987,25,349.0,022188030396
103995,0,201.55,725327616337
103997,25,212.15,725327616290
104004,0,1869.0,818773020923
104005,7,1952.0,818773020930
104006,0,1636.0,818773020893
104007,0,1636.0,818773020916
104008,0,1604.0,818773020954
104009,4,1719.0,818773020909
104015,0,1580.0,818773020961
104111,0,1583.04,023614440857
104112,0,1583.04,023614440840
104113,0,1583.04,023614679172
104187,25,99.0,727962510278
104199,25,1520.0,082442893709
104200,25,1520.0,082442893716
104201,25,1620.0,082442893846
104202,0,1620.0,082442893853
104203,7,1540.0,082442893778
104204,0,1540.0,082442893785
104205,25,1620.0,082442893877
104206,6,1620.0,082442893884
104207,25,1620.0,082442893815
104208,25,1620.0,082442893822
104209,22,1550.0,082442894102
104210,0,1550.0,082442894119
104240,0,821.0,736676017751
104302,4,599.0,806703064352
104304,25,409.23,806703065335
104305,3,2049.38,806703065854
104306,25,2049.38,806703065861
104317,0,188.13,853427007011
104318,0,309.39,867114000100
104366,25,794.0,845737009137
104367,25,794.0,845737009144
104374,25,649.79,011356571731
104375,12,649.79,011356571458
104377,0,736.77,011356571700
104379,25,679.47,011356572325
104381,12,953.71,011356571472
104387,0,541.32,011356573001
104388,0,541.32,011356573018
104389,1,541.32,011356573025
104390,8,541.32,011356573032
104391,6,541.32,011356573049
104392,14,541.32,011356573056
104393,0,541.32,011356573063
104394,0,541.32,011356573070
104395,4,541.32,011356573087
104396,19,541.32,011356573094
104397,6,541.32,011356573100
104398,0,541.32,011356573117
104399,25,541.32,011356573124
104400,6,541.32,011356573131
104401,10,541.32,011356573148
104402,0,541.32,011356573155
104403,0,541.32,011356573162
104404,0,541.32,011356573179
104405,0,541.32,011356573186
104406,0,541.32,011356573193
104407,0,541.32,011356573209
104408,0,541.32,011356573216
104409,0,541.32,011356573223
104410,25,541.32,011356573230
104411,0,541.32,011356573247
104412,0,541.32,011356573254
104413,0,541.32,011356573261
104414,0,541.32,011356573278
104415,25,593.52,011356573360
104416,12,593.52,011356573377
104417,25,593.52,011356573384
104418,15,593.52,011356573391
104419,0,629.33,011356573407
104420,0,629.33,011356573414
104421,0,629.33,011356573421
104422,0,629.33,011356573438
104423,25,629.33,011356573445
104424,0,629.33,011356573452
104425,0,629.33,011356573469
104426,6,629.33,011356573476
104427,0,629.33,011356573483
104428,0,629.33,011356573490
104429,0,629.33,011356573506
104430,0,629.33,011356573513
104431,19,629.33,011356573520
104432,0,629.33,011356573537
104433,0,629.33,011356573544
104434,24,629.33,011356573551
104435,0,640.58,011356573568
104436,0,640.58,011356573575
104437,0,640.58,011356573582
104439,25,640.58,011356573599
104440,0,640.58,011356573605
104441,0,640.58,011356573612
104442,14,494.25,011356571441
104443,0,318.24,011356572332
104444,0,318.24,011356572349
104445,0,318.24,011356572356
104446,0,318.24,011356572363
104447,1,318.24,011356572370
104448,0,318.24,011356572387
104449,0,318.24,011356572394
104450,13,318.24,011356572400
104451,25,318.24,011356572417
104452,0,318.24,011356572448
104453,0,318.24,011356572455
104454,0,318.24,011356572462
104455,0,318.24,011356572479
104456,13,318.24,011356572486
104457,0,318.24,011356572493
104458,0,318.24,011356572509
104459,0,318.24,011356572516
104460,0,318.24,011356572523
104461,0,318.24,011356572530
104462,0,318.24,011356572547
104463,0,318.24,011356572554
104464,0,318.24,011356572424
104465,0,318.24,011356572431
104466,25,352.01,011356572561
104467,0,352.01,011356572578
104468,17,352.01,011356572585
104469,25,339.0,011356572592
104470,15,352.01,011356572608
104471,0,352.01,011356572615
104472,0,352.01,011356572622
104473,0,352.01,011356572639
104474,0,352.01,011356572646
104476,0,352.01,011356572653
104477,0,352.01,011356572660
104478,20,352.01,011356572677
104479,0,393.97,011356572745
104480,0,393.97,011356572752
104481,0,393.97,011356572769
104482,19,393.97,011356572776
104483,0,393.97,011356572783
104484,0,393.97,011356572790
104485,0,393.97,011356572806
104486,6,393.97,011356572813
104487,1,393.97,011356572820
104488,0,393.97,011356572684
104489,0,393.97,011356572691
104490,0,393.97,011356572707
104491,25,393.97,011356572714
104492,23,393.97,011356572721
104493,0,393.97,011356572738
104494,0,437.97,011356572868
104495,0,437.97,011356572875
104496,0,437.97,011356572882
104497,25,419.0,011356572899
104498,0,437.97,011356572905
104499,0,437.97,011356572912
104500,0,437.97,011356572837
104501,0,437.97,011356572844
104502,25,419.0,011356572851
104505,21,270.15,062654138232
104506,20,343.82,062654138249
104507,9,343.82,062654138362
104508,25,163.73,062654138348
104509,25,163.73,062654138355
104510,0,1243.09,848037053596
104524,1,1328.57,682146390919
104636,25,594.43,713780251226
104637,0,392.0,015813506496
104643,0,478.0,022188875966
104672,0,273.03,813393016806
104705,0,773.0,022188874969
104706,0,1025.0,022188874952
104707,25,599.0,022188875546
104708,25,775.0,022188875539
104709,25,599.0,022188875560
104710,25,775.0,022188875553
104870,0,372.28,682146281897
104896,0,1508.02,806703018454
104897,0,1508.02,806703018461
104920,25,730.0,806703013558
104947,25,628.0,022188871609
104952,0,1103.0,098289007148
104953,0,1191.0,098289111890
104954,0,1191.0,098289111920
104955,0,1191.0,098289111906
104956,0,1191.0,098289111937
104957,0,1191.0,098289111913
104958,0,1191.0,098289111944
104959,0,1021.0,098289111883
104960,0,1021.0,098289111975
104961,0,1064.0,098289111982
104994,12,716.67,842834100019
105079,2,944.75,848037051417
105150,0,421.0,736676311019
105340,0,1728.07,602686421935
105341,0,1356.76,602686214414
105342,0,1243.51,602686214445
105349,25,1099.54,602686421942
105351,10,652.24,761226089193
105352,14,799.24,761226089209
105353,6,572.76,761226089186
105363,0,77.02,815648028336
105379,0,1443.58,812526021779
105497,25,389.0,723364212734
105498,25,389.0,723364212741
105512,0,1532.6,812526021748
105513,0,1427.62,812526021724
105535,33,44.32,815879019134
105547,0,212.15,725327616054
105554,0,826.0,736676067626
105557,25,359.0,736676038169
105611,0,1428.09,8029874030328
105612,0,2175.56,8029874024624
105613,0,1722.22,8029874002912
105616,0,1844.44,8029874028912
105617,0,1885.56,8029874018012
105618,0,1398.89,8057829612596
105619,2,1434.44,8057829612602
105620,2,1434.44,8057829612626
105622,0,1530.0,8057829612282
105623,1,1638.89,8057829612299
105624,1,1638.89,8057829612176
105625,1,1638.89,8057829612015
105626,0,1638.89,8057829612527
105627,0,1638.89,8057829612534
105628,3,965.17,8051770130000
105678,0,469.0,015813502085
105806,10,380.69,752334900128
105886,25,566.0,798681582686
105892,0,576.67,819644021643
105921,0,1047.86,798681583393
106143,0,526.82,725327931560
106145,0,212.15,725327616122
106359,0,247.88,815648028558
106360,0,283.3,815648028565
106362,6,1462.22,815648028596
106406,25,753.0,798681597765
106564,10,138.67,727962702994
106565,0,680.0,082442884998
106571,0,675.0,082442884950
106697,0,252.0,736676311149
106699,25,540.0,022188877113
106726,0,546.0,764503030789
106727,0,546.0,764503030796
106728,25,546.0,764503030819
106729,0,546.0,764503030826
106730,25,475.0,764503030918
106731,25,475.0,764503030895
106736,0,617.5,764503030017
106737,25,624.0,764503030024
106779,20,1074.49,193212008817
106782,25,945.05,193212008800
106835,23,478.0,022188875447
106836,25,478.0,022188876628
106841,0,1133.0,798681591541
106842,0,1133.0,798681591596
106843,25,279.0,723364212963
106883,25,124.47,884110370723
106884,0,173.0,884110370730
106886,25,189.0,884110381910
106887,25,165.0,884110382306
106888,0,175.0,884110382320
106890,0,2904.55,800732701097
106953,25,867.0,736676085224
106968,0,905.43,787450515994
107164,0,619.58,787450510630
107244,0,1679.0,736676180806
107245,25,1679.0,736676180813
107246,0,608.0,736676157020
107283,0,914.0,736676050413
107284,0,914.0,736676050437
107285,0,914.0,736676050444
107286,0,914.0,736676050505
107287,0,914.0,736676050512
107352,6,500.0,858763007343
107353,3,544.44,858763007350
107360,1,988.95,848037055088
107371,0,1527.47,619835300089
107372,0,1527.47,619835300102
107373,0,1527.47,619835300119
107374,0,1527.47,619835300133
107375,0,1527.47,619835300140
107376,0,1527.47,619835300157
107377,0,410.99,619835400154
107378,0,410.99,619835400161
107379,0,505.49,619835400178
107380,6,661.39,682146282054
107396,25,312.32,736676038220
107402,14,544.43,713780241326
107680,25,400.62,806703015408
107691,11,1599.0,806703914527
107692,0,1690.77,806703914602
107693,0,1690.77,806703914619
107694,0,1690.77,806703914626
107695,25,400.62,806703915401
107700,25,2131.23,806703917313
107701,0,537.38,806703951300
107708,0,1418.05,806703018836
107709,0,1418.05,806703018843
107711,0,515.85,806703023014
107712,25,515.85,806703023021
107713,25,515.85,806703023038
107714,0,491.08,806703023106
107715,0,491.08,806703023113
107716,0,491.08,806703023120
107717,25,532.0,806703023403
107718,0,532.0,806703023410
107719,25,532.0,806703023427
107720,0,695.69,806703023458
107721,25,450.15,806703023137
107722,0,450.15,806703023144
107723,24,450.15,806703023151
107724,18,450.15,806703023359
107725,0,1066.15,806703023380
107728,0,572.92,806703023595
107729,0,638.62,806703023656
107730,0,638.62,806703023663
107747,25,1119.0,806703065007
107748,0,1065.08,806703065014
107749,0,1065.08,806703065021
107751,12,654.77,806703064833
107752,25,654.77,806703063904
107753,25,654.77,806703063911
107755,15,556.77,806703063508
107757,19,613.85,806703063522
107758,8,556.77,806703063539
107759,20,556.77,806703063546
107797,12,400.62,806703015316
107800,25,392.0,806703915319
107850,3,851.11,787450528314
107893,0,410.99,619835400185
107894,0,410.99,619835400147
107903,25,539.0,845737010010
107904,4,539.0,845737010027
107905,18,794.0,845737010119
107906,25,794.0,845737010195
107937,0,434.0,764503032806
107939,0,482.0,764503032721
107940,0,434.0,764503032745
107945,25,447.0,022188874891
107948,0,2247.33,023614736578
107949,0,2247.33,023614737063
107950,0,1879.42,023614679394
107951,0,1879.42,023614679387
107952,0,1879.42,023614679370
107953,0,2237.11,023614681472
107954,0,2237.11,023614681465
107958,0,2799.2,023614679424
107959,0,2799.2,023614679417
107960,0,2410.85,023614736745
107961,0,2410.85,023614736738
107962,3,1082.27,023614679301
107963,5,1082.27,023614679318
107966,0,1123.15,023614679349
107968,0,1123.15,023614679363
107970,1,1695.46,023614736059
107996,0,1337.77,023614736790
107998,0,857.44,023614736592
108000,0,479.31,023614735618
108036,25,336.53,611613021513
108064,25,419.0,642230257870
108065,25,419.0,642230257054
108066,25,419.0,642230257894
108067,25,419.0,642230257900
108099,0,615.0,798681582532
108131,0,1576.71,602686422048
108132,25,523.0,736676191079
108214,25,799.0,747115436088
108223,0,669.67,747115436439
108224,0,669.67,747115436446
108225,1,669.67,747115436521
108226,0,669.67,747115436514
108227,0,669.67,747115436453
108228,0,669.67,747115436538
108229,0,669.67,747115436545
108230,5,669.67,747115436491
108231,0,669.67,747115436484
108232,0,669.67,747115436460
108233,0,669.67,747115436477
108280,0,1830.42,761226089308
108328,2,1006.78,879971008236
108369,0,212.15,725327931966
108370,0,222.76,725327931973
108382,0,607.84,011356573759
108383,0,663.1,011356573766
108384,5,535.19,011356573773
108385,0,535.19,011356573780
108387,25,593.52,011356573803
108388,0,685.6,011356573810
108389,25,365.32,011356573650
108390,4,365.32,011356573667
108391,0,365.32,011356573674
108392,13,365.32,011356573681
108393,0,365.32,011356573698
108394,0,365.32,011356573704
108395,1,365.32,011356573711
108396,16,365.32,011356573728
108397,0,365.32,011356573735
108398,0,365.32,011356573742
108399,6,365.32,011356573841
108400,25,349.0,011356573858
108401,0,365.32,011356573865
108402,0,365.32,011356573872
108403,13,181.01,011356192523
108404,25,181.01,011356192530
108405,24,735.54,011356221797
108406,5,602.66,011356221780
108525,25,655.0,015813810463
108526,25,559.0,015813631020
108543,0,693.92,048702016844
108544,0,693.92,048702016837
108545,0,693.92,048702016820
108549,0,949.42,048702017001
108550,0,949.42,048702016998
108551,0,397.55,048702017704
108552,1,397.55,048702017711
108553,0,315.79,048702017056
108554,1,315.79,048702017063
108555,0,315.79,048702017070
108556,0,336.23,048702017087
108557,0,336.23,048702017094
108570,0,540.63,048702016349
108571,0,540.63,048702016356
108572,0,540.63,048702016363
108573,0,540.63,048702016370
108574,0,540.63,048702016387
108575,0,540.63,048702016394
108577,0,540.63,048702017186
108578,0,540.63,048702017193
108579,0,540.63,048702017209
108581,0,540.63,048702017223
108582,0,1644.36,048702018558
108583,0,1000.52,048702016172
108584,0,1000.52,048702016189
108595,0,157.89,812285025711
108597,0,108.89,812285025391
108598,0,108.89,812285025407
108599,0,521.58,868042198037
108620,25,291.0,736676311132
108623,25,202.25,813393019739
108624,25,202.25,819644022060
108672,10,1785.0,043125065127
108673,0,1785.0,043125308309
108674,12,1840.43,043125065134
108675,0,1785.0,043125300167
108683,19,1424.67,043125065165
108684,0,1369.23,043125300181
108685,0,1369.23,043125065172
