I,Q,P,UPC
4504,0,405.0,015813504973
4512,25,603.24,747115425280
4514,25,579.0,747115425273
4515,25,603.24,747115429622
4516,25,603.24,747115425297
4517,25,490.0,747115425242
4518,14,490.0,747115425235
4519,0,490.0,747115425266
4530,0,490.0,747115425259
4546,0,1460.41,048702006036
4650,0,499.0,856304004967
4997,25,650.0,022188868104
5000,25,650.0,022188868111
5067,25,424.67,787450382329
5073,0,588.88,713780241180
5074,20,566.66,713780241340
5075,19,566.66,713780241395
5076,0,411.1,713780202082
5079,12,427.77,713780251257
5080,0,499.99,713780302881
5081,25,499.99,713780304182
5099,0,702.0,736676017577
5100,19,528.0,736676211333
5104,0,818.84,0
5105,0,818.84,810237022870
5106,0,859.13,810237022887
5113,25,528.0,736676169313
5115,0,528.0,736676169320
5117,0,528.0,736676169337
5118,25,528.0,736676169344
5134,0,1275.14,602686313179
5142,7,260.67,752334038074
5143,25,287.64,752334038098
5155,25,457.0,736676086054
5162,1,889.5,848037036339
5163,1,751.38,848037036131
5164,1,1359.12,848037027634
5169,8,1680.0,847313008565
5241,25,427.74,011356470072
5243,0,478.9,011356470089
5245,0,410.34,011356474001
5257,25,388.0,022188868203
5258,25,388.0,022188868210
5259,25,388.0,022188868227
5263,0,469.09,048702004568
5265,0,469.09,048702004582
5271,0,469.09,048702004599
5273,0,469.09,048702004605
5275,0,469.09,048702006418
5278,0,458.87,048702006456
5282,0,458.87,048702006470
5283,0,458.87,048702006487
5284,0,458.87,048702006494
5287,0,1429.75,048702006111
5288,0,1429.75,048702006135
5290,0,1429.75,048702006128
5295,0,1480.85,048702006043
5296,0,336.23,048702004698
5326,0,448.65,048702006517
5331,0,417.99,048702006524
5337,25,394.0,764503913358
5340,9,544.43,713780241012
5341,3,544.43,713780241029
5342,5,511.1,713780241128
5345,25,566.66,713780241357
5348,25,589.0,713780241760
5351,6,511.1,713780241616
5353,25,511.1,713780241623
5373,25,529.0,884110757906
5423,2,509.6,011356226785
5486,2,834.62,651984018026
5577,0,600.11,784672659758
5591,1,409.0,723364210525
5615,0,399.29,8053670715950
5627,0,188.95,8053670712072
5632,0,826.72,8053670712119
5634,0,827.63,8053670712126
5635,0,932.89,8053670712133
5639,0,900.61,8053670712140
5642,0,935.75,8053670712157
5643,0,949.11,8053670712164
5644,0,988.81,8053670712171
5645,0,1027.17,8053670712188
5646,0,1036.21,8053670712195
5647,0,1160.23,8053670712201
5650,0,905.57,8053670714144
5651,0,988.81,8053670714151
5652,0,936.78,8053670714168
5653,0,1026.05,8053670714175
5654,0,947.04,8053670714182
5656,0,1038.48,8053670714199
5657,2,140.8,8053670715882
5658,18,159.95,8053670716544
5659,0,154.09,8053670712393
5660,15,144.02,8053670712409
5663,0,198.37,8053670711471
5666,0,207.45,8053670712348
5670,0,248.32,8053670710092
5677,0,1172.66,8053670710467
5678,0,1165.01,8053670710474
5679,0,1081.12,8053670710498
5681,25,373.0,022188868548
5683,25,387.0,022188867886
5688,18,623.0,022188868265
5689,25,623.0,022188868142
5690,25,439.0,022188868388
5691,0,439.0,022188868395
7082,0,989.0,642230260900
7098,0,2768.3,642230261624
7507,0,1353.59,848037030412
8010,0,593.0,764503913808
8014,25,587.0,764503913853
8015,25,587.0,764503913860
8026,25,440.0,764503001093
8028,25,440.0,764503001130
8031,0,440.0,764503000911
8032,25,481.0,764503913648
8033,25,440.0,764503001178
8035,25,440.0,764503001215
8037,25,440.0,764503001086
8039,0,440.0,764503001123
8041,25,481.0,764503913631
8092,25,440.0,764503001246
8095,25,440.0,764503001277
8099,0,444.0,764503001055
8166,0,169.66,857679003500
8167,0,178.0,857679003517
8239,25,481.0,764503913884
8258,0,1623.92,023614442226
8259,0,1623.92,023614442219
8260,0,1623.92,023614442240
8262,0,1623.92,023614442233
8282,0,591.73,023614442295
8283,0,520.19,023614442301
8284,0,520.19,023614439158
8285,0,520.19,023614439165
8286,0,520.19,023614439172
8287,0,540.63,023614441649
8295,0,612.16,023614044468
8713,0,403.51,815648021481
9678,13,1293.59,810237024317
9681,0,1450.39,810237024614
9761,0,710.0,810496020617
9762,5,735.54,810496020624
9763,5,735.54,810496020631
9765,5,735.54,810496020648
9766,3,735.54,810496020655
9767,8,735.54,810496020662
9768,0,710.0,810496020679
9769,0,710.0,810496020686
9770,0,710.0,810496020693
9773,3,735.54,810496020709
9774,4,735.54,810496020716
9776,0,516.21,839665003527
9777,0,524.44,839665009932
9778,0,1713.96,839665005040
9779,0,1239.3,839665003954
9780,0,1692.58,839665001639
9782,0,1692.58,839665001646
9783,0,1111.51,839665002247
9787,0,1111.51,839665002315
9788,0,1311.02,839665002506
9789,0,501.38,839665003268
9792,0,1652.96,839665007181
9793,0,486.56,839665001059
9794,0,486.56,839665001097
9795,0,1363.68,839665007846
9796,0,1516.77,839665003237
9797,0,1701.72,839665003213
9800,0,1613.66,839665003220
9801,0,1394.53,839665008836
9802,0,709.59,839665002995
9804,0,714.53,839665002919
9805,0,704.81,839665008584
9806,0,704.81,839665008607
9807,2,709.76,839665002971
9808,0,709.76,839665002988
9809,0,501.38,839665009345
9811,0,501.38,839665009000
9812,0,496.43,839665009703
9813,0,496.43,839665009024
9814,0,473.38,839665009789
9815,0,473.38,839665009062
9839,0,814.89,043125014415
9857,0,7469.0,816715010193
9860,0,7469.0,816715010025
9861,0,7664.0,816715012616
9862,0,7469.0,816715011404
9864,0,6972.0,816715012678
9869,0,5700.0,816715010223
9871,0,3996.0,816715010254
9872,0,3849.0,816715011398
9873,0,4096.0,816715012548
9874,0,3947.0,816715012012
9875,0,3849.0,816715010247
9879,0,3947.0,816715012005
10014,3,959.0,642230261488
10089,28,309.84,744253000867
10159,5,499.99,713780241074
10700,0,1123.15,023614439646
10703,0,1123.15,023614439653
10704,0,1123.15,023614439660
10707,0,1123.15,023614439691
10708,0,1123.15,023614439707
10709,0,1215.13,023614439714
10710,0,1215.13,023614439721
10715,0,663.26,023614044185
10729,0,1501.29,023614439585
10730,0,1501.29,023614439578
10731,0,1134.0,022188867824
11400,16,197.14,645221000011
11510,0,3255.0,651984021095
11586,0,408.0,855959001017
11587,0,412.0,855959001031
11590,24,413.36,855959001178
11591,0,411.1,855959001208
11605,25,429.4,855959001147
11745,5,657.0,022188602289
11746,0,1268.0,022188635041
11806,0,560.67,813393019081
11811,0,1370.0,706397019068
11812,0,1451.0,706397019020
11879,0,447.65,725327351238
11880,0,458.25,725327351245
11920,0,832.4,851799004485
11922,0,832.4,851799004263
11923,0,794.1,851799004355
11924,0,823.91,851799004447
11930,0,832.97,851799004454
11931,0,1586.0,859735005916
11962,0,1666.0,859735005954
11969,0,1586.0,859735005961
12006,0,1608.55,859735005978
12014,0,1586.0,859735005923
12015,0,1666.0,859735005992
12027,0,1608.55,856183006007
12029,0,1608.55,856183006014
12045,0,1608.55,859735005985
12055,0,1608.55,859735005930
12056,0,1608.55,856183006021
12491,25,202.25,813393019425
12492,25,202.25,813393019555
12493,25,202.25,813393019562
12537,25,458.0,706397900014
12541,25,482.0,706397866594
12545,25,418.0,706397853457
12552,25,452.0,706397163013
12554,25,457.0,706397164010
12556,0,418.0,706397853464
12560,0,452.0,706397163020
12562,25,457.0,706397164027
12582,0,1370.0,706397900106
12584,0,1370.0,706397900113
13124,0,452.95,855959001161
13218,0,490.58,040589022734
13224,0,503.48,040589022888
13236,4,159.49,752334038036
13237,0,170.53,752334091505
13254,0,1272.92,848037042347
13380,0,600.0,082442815503
13470,0,547.73,640832000825
13585,25,421.98,725327600527
13586,0,434.92,725327600534
13648,0,1256.33,811154030252
13650,0,1276.45,023614236917
13651,0,1276.45,023614236924
13655,22,654.77,806703911021
13656,18,679.54,806703911908
13658,0,679.54,806703911991
13701,0,1256.33,811154030269
13704,25,440.0,764503502170
13711,0,440.0,764503502194
13733,25,440.0,764503502224
13740,25,440.0,764503502231
13760,25,525.0,764503301346
13762,25,525.0,764503301353
13898,25,120.75,062654402036
14250,0,359.56,043125849116
14261,0,360.35,043125948062
14301,0,837.0,736676058013
14302,0,899.0,736676058020
14303,0,899.0,736676058051
14304,0,899.0,736676058068
14313,0,999.0,736676053018
14323,0,696.0,736676051021
14324,0,696.0,736676051014
14326,0,696.0,736676051052
14328,0,696.0,736676051045
14330,0,696.0,736676051076
